Census,CountyOrigin,MunicipalityOrigin,DestinationState,DestinationCounty,DestinationMunicipality,LeavingArea,DirectionalCategories,InTown,ModeToWork,TotalEstCommutersOUT,InCityCommutersOUT,OutOfTownCommutersOUT,MarginOfError
2011-2015,Mercer County,East Windsor township,New Jersey,Passaic County,Clifton city,out of area,NJ-NorthEast,out-of-town,Data-not-available,10,0,10,19
2011-2015,Mercer County,East Windsor township,New Jersey,Passaic County,Wayne township,out of area,NJ-NorthEast,out-of-town,Data-not-available,12,0,12,18
2011-2015,Mercer County,East Windsor township,New Jersey,Somerset County,Bernards township,out of area,NJ-NorthEast,out-of-town,Data-not-available,80,0,80,84
2011-2015,Mercer County,East Windsor township,New Jersey,Somerset County,Bridgewater township,out of area,NJ-NorthEast,out-of-town,Data-not-available,121,0,121,137
2011-2015,Mercer County,East Windsor township,New Jersey,Somerset County,Franklin township,in area,US1-Northeast,out-of-town,Data-not-available,158,0,158,102
2011-2015,Mercer County,East Windsor township,New Jersey,Somerset County,Hillsborough township,in area,US1-Northeast,out-of-town,Data-not-available,6,0,6,9
2011-2015,Mercer County,East Windsor township,New Jersey,Somerset County,Montgomery township,in area,US1-Northeast,out-of-town,Data-not-available,90,0,90,67
2011-2015,Mercer County,East Windsor township,New Jersey,Somerset County,Raritan borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,10,0,10,17
2011-2015,Mercer County,East Windsor township,New Jersey,Somerset County,Warren township,out of area,NJ-NorthEast,out-of-town,Data-not-available,29,0,29,36
2011-2015,Mercer County,East Windsor township,New Jersey,Somerset County,Watchung borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,38,0,38,53
2011-2015,Mercer County,East Windsor township,New Jersey,Union County,Elizabeth city,out of area,NJ-NorthEast,out-of-town,Data-not-available,85,0,85,82
2011-2015,Mercer County,East Windsor township,New Jersey,Union County,New Providence borough,out of area,NJ-NorthEast,out-of-town,Data-not-available,12,0,12,19
2011-2015,Mercer County,East Windsor township,New Jersey,Union County,Springfield township,out of area,NJ-NorthEast,out-of-town,Data-not-available,17,0,17,26
2011-2015,Mercer County,East Windsor township,New Jersey,Union County,Summit city,out of area,NJ-NorthEast,out-of-town,Data-not-available,16,0,16,25
2011-2015,Mercer County,East Windsor township,New Jersey,Union County,Union township,out of area,NJ-NorthEast,out-of-town,Data-not-available,27,0,27,28
2011-2015,Mercer County,East Windsor township,New Jersey,Warren County,Alpha borough,out of area,NJ-Northwest,out-of-town,Data-not-available,12,0,12,21
2009-2013,Mercer County,Ewing township,New Jersey,Burlington County,Bordentown city,out of area,NJ-Southwest,out-of-town,"Car, truck, or van: Drove alone",57,0,57,54
2009-2013,Mercer County,Ewing township,New Jersey,Burlington County,Bordentown township,out of area,NJ-Southwest,out-of-town,"Car, truck, or van: Drove alone",30,0,30,38
2009-2013,Mercer County,Ewing township,New Jersey,Burlington County,Bordentown township,out of area,NJ-Southwest,out-of-town,"Car, truck, or van: Carpooled",14,0,14,22
2009-2013,Mercer County,Ewing township,New Jersey,Burlington County,Willingboro township,out of area,NJ-Southwest,out-of-town,"Car, truck, or van: Drove alone",51,0,51,43
2009-2013,Mercer County,Ewing township,New Jersey,Hunterdon County,Flemington borough,out of area,NJ-Northwest,out-of-town,"Car, truck, or van: Drove alone",45,0,45,39
2009-2013,Mercer County,Ewing township,New Jersey,Hunterdon County,Lambertville city,out of area,NJ-Northwest,out-of-town,"Car, truck, or van: Drove alone",45,0,45,39
2009-2013,Mercer County,Ewing township,New Jersey,Hunterdon County,Raritan township,out of area,NJ-Northwest,out-of-town,"Car, truck, or van: Drove alone",69,0,69,45
2009-2013,Mercer County,Ewing township,New Jersey,Mercer County,East Windsor township,in area,US1-Southwest,out-of-town,"Car, truck, or van: Drove alone",94,0,94,59
2009-2013,Mercer County,Ewing township,New Jersey,Mercer County,East Windsor township,in area,US1-Southwest,out-of-town,"Car, truck, or van: Carpooled",2,0,2,4
2009-2013,Mercer County,Ewing township,New Jersey,Mercer County,East Windsor township,in area,US1-Southwest,out-of-town,Public transportation,29,0,29,44
2009-2013,Mercer County,Ewing township,New Jersey,Mercer County,Hamilton township,in area,US1-Southwest,out-of-town,"Car, truck, or van: Drove alone",979,0,979,203
2009-2013,Mercer County,East Windsor township,New Jersey,Mercer County,East Windsor township,in area,in-town,in-town,Other travel mode,987,987,0,272
2011-2015,Mercer County,East Windsor township,New Jersey,Mercer County,East Windsor township,in area,in-town,in-town,Data-not-available,1919,1919,0,367
2009-2013,Mercer County,Ewing township,New Jersey,Mercer County,Hamilton township,in area,US1-Southwest,out-of-town,"Car, truck, or van: Carpooled",42,0,42,40
2009-2013,Mercer County,Ewing township,New Jersey,Mercer County,Hopewell borough,in area,US1-Northwest,out-of-town,"Car, truck, or van: Drove alone",95,0,95,88
2009-2013,Mercer County,Ewing township,New Jersey,Mercer County,Hopewell township,in area,US1-Northwest,out-of-town,"Car, truck, or van: Drove alone",489,0,489,151
2009-2013,Mercer County,Ewing township,New Jersey,Mercer County,Hopewell township,in area,US1-Northwest,out-of-town,"Car, truck, or van: Carpooled",9,0,9,14
2009-2013,Mercer County,Ewing township,New Jersey,Mercer County,Hopewell township,in area,US1-Northwest,out-of-town,Other travel mode,28,0,28,44
2009-2013,Mercer County,Ewing township,New Jersey,Mercer County,Lawrence township,in area,US1-Northwest,out-of-town,"Car, truck, or van: Drove alone",1135,0,1135,234
2009-2013,Mercer County,Ewing township,New Jersey,Mercer County,Lawrence township,in area,US1-Northwest,out-of-town,"Car, truck, or van: Carpooled",92,0,92,55
2009-2013,Mercer County,Ewing township,New Jersey,Mercer County,Lawrence township,in area,US1-Northwest,out-of-town,Public transportation,7,0,7,13
2009-2013,Mercer County,Ewing township,New Jersey,Mercer County,Lawrence township,in area,US1-Northwest,out-of-town,Other travel mode,52,0,52,41
2009-2013,Mercer County,Ewing township,New Jersey,Mercer County,Pennington borough,in area,US1-Northwest,out-of-town,"Car, truck, or van: Drove alone",323,0,323,129
2009-2013,Mercer County,Ewing township,New Jersey,Mercer County,Princeton,in area,US1-Northwest,out-of-town,"Car, truck, or van: Drove alone",999,0,999,249
2009-2013,Mercer County,Ewing township,New Jersey,Mercer County,Princeton,in area,US1-Northwest,out-of-town,"Car, truck, or van: Carpooled",46,0,46,40
2009-2013,Mercer County,Ewing township,New Jersey,Mercer County,Princeton,in area,US1-Northwest,out-of-town,Public transportation,39,0,39,38
2009-2013,Mercer County,Ewing township,New Jersey,Mercer County,Princeton,in area,US1-Northwest,out-of-town,Other travel mode,63,0,63,36
2009-2013,Mercer County,Ewing township,New Jersey,Middlesex County,Edison township,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",93,0,93,93
2009-2013,Mercer County,Ewing township,New Jersey,Mercer County,Robbinsville township,in area,US1-Southwest,out-of-town,"Car, truck, or van: Drove alone",135,0,135,75
2009-2013,Mercer County,Ewing township,New Jersey,Mercer County,Robbinsville township,in area,US1-Southwest,out-of-town,"Car, truck, or van: Carpooled",16,0,16,26
2009-2013,Mercer County,Ewing township,New Jersey,Mercer County,Robbinsville township,in area,US1-Southwest,out-of-town,Public transportation,5,0,5,8
2009-2013,Mercer County,Ewing township,New Jersey,Mercer County,Trenton city,in area,US1-Northwest,out-of-town,"Car, truck, or van: Drove alone",2422,0,2422,342
2009-2013,Mercer County,Ewing township,New Jersey,Mercer County,Trenton city,in area,US1-Northwest,out-of-town,"Car, truck, or van: Carpooled",156,0,156,91
2009-2013,Mercer County,Ewing township,New Jersey,Mercer County,Trenton city,in area,US1-Northwest,out-of-town,Public transportation,126,0,126,79
2009-2013,Mercer County,Ewing township,New Jersey,Mercer County,Trenton city,in area,US1-Northwest,out-of-town,Other travel mode,48,0,48,50
2009-2013,Mercer County,Ewing township,New Jersey,Middlesex County,Piscataway township,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",40,0,40,40
2009-2013,Mercer County,Ewing township,New Jersey,Mercer County,West Windsor township,in area,US1-Southwest,out-of-town,"Car, truck, or van: Drove alone",686,0,686,239
2009-2013,Mercer County,Ewing township,New Jersey,Mercer County,West Windsor township,in area,US1-Southwest,out-of-town,"Car, truck, or van: Carpooled",5,0,5,7
2009-2013,Mercer County,Ewing township,New Jersey,Mercer County,West Windsor township,in area,US1-Southwest,out-of-town,Public transportation,73,0,73,98
2009-2013,Mercer County,Ewing township,New Jersey,Mercer County,West Windsor township,in area,US1-Southwest,out-of-town,Other travel mode,59,0,59,62
2009-2013,Mercer County,Ewing township,New Jersey,Middlesex County,Woodbridge township,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",54,0,54,41
2009-2013,Mercer County,Ewing township,New Jersey,Somerset County,Bridgewater township,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Drove alone",64,0,64,43
2009-2013,Mercer County,Ewing township,New Jersey,Somerset County,Bridgewater township,out of area,NJ-NorthEast,out-of-town,"Car, truck, or van: Carpooled",32,0,32,49
